MsSubClass,Zone,Neighborhood,Area,Room,Built-Age,Sale-Rent,Document,Floor,Elevator,Warehouse,Parking,Reconstruction,Balcony,TotalPrice
1,12,48,98,2,32,1,-1.0,4.0,0,0.0,0,1.0,0,650000000.0
1,1,83,110,2,1,0,3.0,3.0,1,1.0,1,0.0,1,33000000000.0
1,16,62,57,1,5,0,0.0,5.0,1,0.0,1,0.0,0,3240000000.0
1,6,25,157,3,0,0,-1.0,2.0,0,1.0,1,0.0,1,15100000000.0
1,14,51,72,1,6,0,0.0,5.0,0,0.0,1,0.0,1,2530000000.0
1,9,35,70,1,0,1,-1.0,2.0,0,0.0,1,0.0,1,570000000.0
1,15,57,65,2,0,1,-1.0,4.0,0,1.0,1,0.0,0,600000000.0
1,18,68,52,1,5,0,0.0,1.0,1,1.0,0,0.0,0,2900000000.0
1,12,46,160,3,0,0,0.0,4.0,1,0.0,1,0.0,1,15000000000.0
1,16,76,40,1,10,0,3.0,4.0,0,1.0,1,0.0,0,2400000000.0
1,5,8,64,2,11,0,3.0,4.0,1,0.0,1,0.0,1,6000000000.0
1,5,8,101,2,7,0,-1.0,5.0,1,1.0,1,0.0,1,12600000000.0
1,5,22,62,1,13,1,3.0,4.0,1,1.0,1,0.0,0,350000000.0
1,20,73,88,2,3,0,0.0,2.0,0,1.0,1,0.0,0,2400888800.0
1,4,18,133,3,8,0,0.0,3.0,0,1.0,2,1.0,1,18500000000.0
1,2,90,9,2,9,0,-1.0,1.0,1,1.0,1,0.0,1,19000000000.0
1,18,66,78,2,20,0,0.0,4.0,0,1.0,1,1.0,1,6500000000.0
1,10,41,100,2,1,0,3.0,2.0,1,1.0,1,0.0,1,5500000000.0
1,5,8,112,2,15,0,-1.0,4.0,1,1.0,1,1.0,1,14000000000.0
1,20,103,139,3,5,0,0.0,4.0,1,0.0,1,0.0,1,9600000000.0
1,1,83,120,2,1,0,3.0,3.0,1,1.0,1,0.0,1,36000000000.0
1,9,35,57,1,8,0,0.0,2.0,0,1.0,0,1.0,1,3600000000.0
1,2,10,15,3,15,0,3.0,10.0,1,1.0,1,1.0,0,18000000000.0
1,4,16,130,3,2,1,-1.0,4.0,0,1.0,1,0.0,1,1700000000.0
1,13,49,57,1,7,0,0.0,1.0,1,1.0,0,0.0,1,3800000000.0
1,19,71,93,2,8,1,-1.0,1.0,0,1.0,0,0.0,0,500000000.0
1,4,16,80,2,0,1,-1.0,2.0,0,1.0,1,0.0,0,1100000000.0
